# MJD residual_us
5.377140173114157369e+04 4.073430317047559868e+00
5.377140173114388017e+04 -1.156254521466000051e+00
5.377140173115030484e+04 1.539377263749489022e-02
5.377140173115226207e+04 2.440307341068395974e+00
5.377140173115917423e+04 1.306803213125870666e+00
5.377140173116063670e+04 -1.187004004997253226e+00
5.379831701582619280e+04 3.401002277154841491e-01
5.379831701583342510e+04 4.672488967054106546e+00
5.379831701583461108e+04 -1.418095325610802204e+00
5.379831701583710674e+04 -1.184676443763748477e+00
5.379831701584228722e+04 -1.963631795476614261e+00
5.379831701584866096e+04 -6.845496955185602639e-01
5.379831701585068367e+04 6.852657629004174078e-01
5.379831701586082636e+04 1.646299033475427054e+00
5.379831701587358839e+04 3.597935696666553884e+00
5.379832743509437569e+04 -9.281610153559146648e-01
5.379832743510160799e+04 2.923840215865701531e+00
5.379832743510283035e+04 3.408749907383964439e-01
5.379832743510528235e+04 -3.377075020563531815e+00
5.379832743511047738e+04 -3.242421207181580112e+00
5.379832743511683657e+04 -2.791397217632889838e+00
5.379832743511887384e+04 -1.650710886566593705e-01
5.379832743512911111e+04 8.879150884730350413e+00
5.379832743514172762e+04 -1.436853199243288692e+00
5.380031695857652085e+04 2.262611137548948381e+00
5.380031695857751765e+04 -1.186676882843870517e+00
5.380031695858619787e+04 9.449235461775105094e+00
5.380031695858929015e+04 -1.973001091752967007e+00
5.380031695859470346e+04 -1.036105993580007878e+00
5.380031695859746105e+04 -4.537793819755751912e+00
5.380031695860341279e+04 -4.878062022654345853e-01
5.380031695860578475e+04 -6.211696356564569421e-02
5.380031695861218759e+04 -3.995865193898949230e-01
5.380031695861403568e+04 -7.475729636548850365e+00
5.380031695862103516e+04 -1.069739317252405897e+00
5.380031695862247579e+04 -5.298636933689087058e+00
5.380032737924479443e+04 1.550913824702314203e+00
5.380032737924582761e+04 1.171038906090699383e+00
5.380032737925436959e+04 -3.569754448435862038e-02
5.380032737925762194e+04 2.232645025518340542e+00
5.380032737926295522e+04 -3.760809809511770130e+00
5.380032737926578557e+04 -9.675738999644599714e-01
5.380032737927173002e+04 2.389439844399594115e+00
5.380032737927406561e+04 -1.014318827393960176e-01
5.380032737928046117e+04 -1.833948346096397453e+00
5.380032737928242568e+04 1.284808551766259077e+00
5.380032737928935967e+04 2.159395485941060233e+00
5.380032737929081486e+04 -3.726505916266679153e-01
5.383821214430895634e+04 -6.745499162300617746e-01
5.383821214431004046e+04 2.501771874276464747e+00
5.383821214431853878e+04 -2.316048941372473635e+00
5.383821214432177658e+04 -1.655787284760498412e+00
5.383821214432715351e+04 -3.298250459442546134e+00
5.383821214433002751e+04 2.921917253128914371e+00
5.383821214433592104e+04 2.253864923897559436e+00
5.383821214433825662e+04 -7.750625057371143267e-01
5.383821214434469584e+04 1.803030320859374536e+00
5.383821214434660214e+04 1.162334843101360121e-01
5.383821214435353613e+04 1.076905198821015652e+00
5.383821214435498405e+04 -2.724745044441745812e+00
5.383822360672178183e+04 -2.514086978509323167e+00
5.383822360672290233e+04 4.069642586807225904e+00
5.383822360673145158e+04 3.709136743763686628e+00
5.383822360673463845e+04 1.177916188340125125e-01
5.383822360674005176e+04 1.496034777265640603e+00
5.383822360674283846e+04 5.010315606474589900e-02
5.383822360674867377e+04 -5.356356778966086196e+00
5.383822360675108939e+04 -1.659144591193166152e+00
5.383822360675754317e+04 2.538590334821324124e+00
5.383822360675944947e+04 7.053107443578363056e-02
5.383822360676635435e+04 -1.458627312382975827e+00
5.383822360676783137e+04 -2.098443833667850811e+00
5.383920546536559414e+04 1.111445684863441974e+00
5.383920546537281189e+04 2.788101734291012601e+00
5.383920546537398332e+04 -2.044603139877713360e+00
5.383920546537645714e+04 -4.945496675736540837e+00
5.383920546538167400e+04 -1.556536869348953189e+00
5.383920546538805502e+04 -1.067962698616277573e+00
