# MJD residual_seconds
5.371571295777056366e+04 1.239486706234794998e-06
5.371571295777102932e+04 -3.918144010722454940e-07
5.371571295777148771e+04 -2.028180471245399747e-06
5.371571295777181513e+04 -1.569432707591113374e-05
5.371571295777249179e+04 7.440396999599267730e-07
5.371571295777297200e+04 -9.609749432519888664e-09
5.375057035792305396e+04 -6.040532305015187714e-09
5.375057035792511306e+04 -6.178917400310718898e-08
5.375057035792718671e+04 -2.578963121165336634e-08
5.375057035792928218e+04 -2.185683651559007245e-08
5.375057035793139221e+04 -6.324481879320852624e-08
5.375057035793351679e+04 -1.278124546582303215e-07
5.375057035793566320e+04 -6.598585752076779729e-08
5.375057035793783143e+04 -1.468039372706052473e-07
5.375057035794001422e+04 1.041903164951606859e-09
5.375057035794221156e+04 -6.664983584607717804e-08
5.375057035794443073e+04 -3.834563159410651656e-08
5.375057035794667172e+04 -9.784830459298620150e-08
5.375057035794893454e+04 -9.160861084360439416e-08
5.375057035795121192e+04 -9.223002645575292073e-08
5.375057035795350384e+04 -7.472823880400806318e-08
5.375057035795582487e+04 6.359206642614872691e-08
5.375058081728604157e+04 -3.102484493043896944e-08
5.375058081728810066e+04 -1.229773304431570593e-07
5.375058081729017431e+04 -8.512205335788975700e-08
5.375058081729226978e+04 -3.451498740962934284e-08
5.375058081729437981e+04 2.756698600679844868e-08
5.375058081729650439e+04 -5.417044834731366924e-08
5.375058081729865080e+04 1.381071711320907304e-08
5.375058081730081904e+04 -2.585773155271078200e-08
5.375058081730300182e+04 4.648185573548383896e-08
5.375058081730519916e+04 -8.997420265822759641e-08
5.375058081730741833e+04 -8.097644509602216576e-08
5.375058081730965932e+04 -8.214266343662968668e-08
5.375058081731191487e+04 -8.477303910997072099e-08
5.375058081731419952e+04 3.493884792625908897e-08
5.375058081731649145e+04 -4.942414305465055978e-09
5.375058081731881248e+04 -5.631560909062092226e-08
5.375059820888060494e+04 -6.134047100828116975e-08
5.375059820888106333e+04 -5.389199620513096085e-08
5.375059820888152171e+04 -1.019963746195330422e-07
5.375059820888198010e+04 -2.736092340841138659e-07
5.375059820888244576e+04 -1.129945797002988442e-07
5.375059820888290415e+04 -2.830666689484565561e-07
5.375059820888337708e+04 -8.009360242695534923e-08
5.375059820888384274e+04 -1.583579193871416412e-07
5.375059820888431568e+04 2.587052825831755899e-08
5.375059820888478862e+04 -3.210921968863674075e-07
5.375059820888526883e+04 -1.585026326118885693e-07
5.375059820888574905e+04 -3.264721238298999154e-07
5.375059820888623653e+04 2.046849987897155798e-07
5.375059820888671675e+04 5.673700784257202112e-08
5.375059820888720424e+04 -1.281043428724035593e-07
5.375059820888769173e+04 -4.980253954960554666e-07
5.375060862910553260e+04 -1.488834594375348370e-07
5.375060862910599099e+04 -1.177871412022116889e-07
5.375060862910644937e+04 -7.192187325037207134e-09
5.375060862910690776e+04 -3.853959439297928280e-07
5.375060862910738069e+04 2.537853446920821889e-07
5.375060862910783908e+04 -1.741316608845560548e-07
5.375060862910830474e+04 -9.393499674686664168e-08
5.375060862910877768e+04 -2.830241062352961916e-07
5.375060862910925061e+04 -2.624067279801763795e-07
5.375060862910972355e+04 -7.645874672301818016e-08
5.375060862911019649e+04 -2.266795865529518390e-07
5.375060862911068398e+04 -1.217454735261715244e-07
5.375060862911116419e+04 2.203137153120817275e-08
5.375060862911165168e+04 1.611007805129969321e-07
5.375060862911213189e+04 -3.199685412589212701e-07
5.375060862911262666e+04 6.710528476855722626e-08
5.379834298016360117e+04 -6.944110569804526975e-06
5.379834298016461980e+04 -5.407588112143078878e-06
5.379834298017124820e+04 -9.320412383221440115e-06
5.379834298017286346e+04 -1.208677592513272653e-05
5.379834298017362016e+04 -5.248156701183908167e-06
5.379834298017615220e+04 -7.999265766698225691e-06
5.379834298018374102e+04 -7.701420412538877706e-06
5.379834298018384288e+04 -4.961624516182803744e-06
5.379834298018788104e+04 -8.189401918931876287e-06
5.379834298019405105e+04 -5.940745682285359519e-06
5.379834298020449933e+04 -5.475126625387248870e-06
5.379834298021504947e+04 -8.697106986603766627e-06
5.379835548966419447e+04 -6.817001283219975104e-06
5.379835548966518400e+04 -8.246044377606799000e-06
5.379835548967189243e+04 -5.190714063501582417e-06
5.379835548967347131e+04 -1.071957645296912974e-05
5.379835548967418435e+04 -7.638776611308260273e-06
5.379835548967677460e+04 -5.214574720499743301e-06
5.379835548968434887e+04 -6.147711131302955161e-06
5.379835548968439980e+04 -8.542732025968162880e-06
5.379835548968851799e+04 -4.284809276578897275e-06
5.379835548969461524e+04 -8.552896001871053202e-06
5.379835548970507080e+04 -7.065618603337094963e-06
5.379835548971565731e+04 -7.291200983091381759e-06
5.379843226765166037e+04 -1.083665918635483471e-05
5.379843226765377767e+04 -5.709044006400356542e-06
5.379843226765584404e+04 -6.596595751407949723e-06
5.379843226765791769e+04 -7.772569465881007023e-06
5.379843226766003500e+04 -7.275488051414140678e-06
5.379843226766216685e+04 -7.007291883242871567e-06
5.379843226766431326e+04 -7.136137728524415691e-06
5.379843226766648149e+04 -6.423833698686693281e-06
5.379843226766865700e+04 -6.927520846236175419e-06
